epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,3285.1,1.48575,1.35629,1.19018,0.37113,0.32015,0.29305,0.17244,1.43366,1.31231,1.18056,0.0059905,0.0059905,0.0059905
83,3323.13,1.47832,1.34023,1.18743,0.40663,0.32165,0.30041,0.17678,1.44672,1.30426,1.18404,0.005941,0.005941,0.005941
84,3362.09,1.48005,1.33369,1.18623,0.41221,0.31475,0.29419,0.1735,1.44589,1.29975,1.18626,0.0058915,0.0058915,0.0058915
85,3400.28,1.47449,1.33445,1.18678,0.41496,0.31849,0.30113,0.17719,1.44436,1.29636,1.18117,0.005842,0.005842,0.005842
86,3438.91,1.47347,1.33769,1.18512,0.38741,0.32667,0.29532,0.17348,1.44583,1.3088,1.18386,0.0057925,0.0057925,0.0057925
87,3477.54,1.47587,1.32621,1.17921,0.41513,0.32102,0.29935,0.17697,1.44279,1.28616,1.18124,0.005743,0.005743,0.005743
88,3515.89,1.46456,1.31969,1.17945,0.39755,0.31572,0.29993,0.17684,1.44981,1.30562,1.18197,0.0056935,0.0056935,0.0056935
89,3555.35,1.46739,1.32114,1.18012,0.43895,0.32003,0.30813,0.18264,1.44168,1.27971,1.17826,0.005644,0.005644,0.005644
90,3593.97,1.46532,1.31412,1.17217,0.40326,0.33776,0.31178,0.18372,1.43632,1.26975,1.17394,0.0055945,0.0055945,0.0055945
91,3632.1,1.45871,1.30641,1.17583,0.40984,0.32511,0.30355,0.17846,1.43863,1.28702,1.17627,0.005545,0.005545,0.005545
92,3670.49,1.46761,1.30744,1.17438,0.4119,0.33585,0.31161,0.18457,1.43453,1.26627,1.17394,0.0054955,0.0054955,0.0054955
93,3716.82,1.46495,1.30009,1.17092,0.42907,0.31518,0.30958,0.18372,1.42844,1.26503,1.17082,0.005446,0.005446,0.005446
94,3756.96,1.45438,1.29302,1.16629,0.42399,0.32223,0.31375,0.18655,1.4329,1.25671,1.17575,0.0053965,0.0053965,0.0053965
95,3794.76,1.45265,1.29158,1.17105,0.46413,0.31345,0.31087,0.18502,1.43142,1.27442,1.16977,0.005347,0.005347,0.005347
96,3833.53,1.46252,1.29673,1.17228,0.43427,0.32247,0.31141,0.1843,1.43277,1.27048,1.1692,0.0052975,0.0052975,0.0052975
